establecimiento_nro_registro;establecimiento_denominacion;direccion;establecimiento_tipo;fabricante_tipo_codigo;fabricante_tipo_desc
EA00001;Universidad Europea De Madrid S.L.;Plaza De Francisco Morano, Nº S/N  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00005;Amplifon Iberica, S.A.;Calle De Stuart, Nº 97  28300, Aranjuez (Madrid);Establecimientos de audioprótesis;;
EA00006;Amplifon Iberica, S.A.;Paseo De Alberto Palacios, Nº 17  28021, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00008;Amplifon Iberica,S.A.;Avenida Universidad, Nº 15  28911, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00009;Amplifon Iberica, S.A.;Calle Gran Vía, Nº 46  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00010;Amplifon Iberica, S.A.;Calle Del Príncipe De Vergara, Nº 211  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00011;Akous Audiologia Y Logopedia,  S.L.;Calle Del General Pardiñas, Nº 3  28001, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00013;Amplifon Iberica, S.A.U.;Avenida De Colmenar Viejo, Nº 9  28701, San Sebastián De Los Reyes (Madrid);Establecimientos de audioprótesis;;
EA00014;Auris Centro Clínico Audiológico, S.L.;Paseo San Francisco De Sales, Nº 21  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00015;Amplifon Iberica, S.A.;Calle Bravo Murillo, Nº 140  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00016;Abel Opticos (Jotape, S.L.);Calle Fernández De Los Ríos, Nº 69  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00017;Lydalf C.B.;Plaza Segovia, Nº 9  28600, Navalcarnero (Madrid);Establecimientos de audioprótesis;;
EA00018;Felipe Guerra Godino;Calle De Alcalá, Nº 328  28017, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00019;Servicios Auditivos Ibiza, S.L.L.;Calle De Ibiza, Nº 3  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00020;Alicia Llorca Gallego;Calle De La Comunidad Castilla-La Mancha, Nº 7  28231, Rozas De Madrid, Las (Madrid);Establecimientos de audioprótesis;;
EA00021;Multiópticas Delgado Espinosa;Avenida España, Nº 54  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00023;Pedro Jesús Corrales Fernández (Cofer);Calle Del Alcalde Sáinz De Baranda, Nº 32  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00024;Jesús María Roldán García;Calle Concepción, Nº 7  28380, Colmenar De Oreja (Madrid);Establecimientos de audioprótesis;;
EA00025;Rv Alfa, S.A.;Calle Arturo Soria, Nº 117  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00026;Fundación Por La Solidaridad Tecnológica (Solitec);Calle Del Puerto De Maspalomas, Nº 24  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00027;Launerfon Grup, S.L.;Calle De Santa Engracia, Nº 124  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00028;Óptica Científica Europea, S.L.;Calle De La Oca, Nº 90  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00029;Centro Óptico Buenavista;Calle Alfonso Fernández, Nº 2  28044, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00030;Amplifon Iberica, S.A.;Avenida Monforte De Lemos , Nº 113  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00031;Abel Ópticos (Jotape, S.L.);Calle De La Constitución, Nº 40  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00033;Opticalia;Calle De Espoz Y Mina, Nº 18  28012, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00034;Óptica Soriano;Avenida Rey Juan Carlos I, Nº 23  28915, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00035;Óptica Val;Calle De La Virgen Del Val, Nº 52  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00036;Óptica Villa S.L.;Calle Madrid, Nº 52  28901, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00037;Óptica Virumbrales;Paseo De Extremadura, Nº 79  28011, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00038;Ópticos Becans S.C.B.;Calle De Ocaña, Nº 73  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00039;C.B. Julián Ángel Muñoz Cruz  ( Opticentros);Avenida Pablo Neruda, Nº 15, Piso/Puerta local-4  28038, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00040;Opticonfort;Carretera De Parla-Pinto, Nº KM 1, Piso/Puerta LOCAL 46  28980, Parla (Madrid);Establecimientos de audioprótesis;;
EA00041;Optilent;Carretera De Loeches, Nº 8  28500, Arganda Del Rey (Madrid);Establecimientos de audioprótesis;;
EA00042;Optimedia;Calle De Francisco Silvela, Nº 56, Piso/Puerta DPDO.  28028, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00043;Regel S.L.;Calle De Alburquerque, Nº 15  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00044;Rizóptica;Calle Del Doctor Fleming, Nº 37  28036, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00045;Servisord;Calle De Las Azucenas, Nº 11  28039, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00046;Abel Ópticos;Calle De La Marquesa Viuda De Aldama, Nº 3  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00047;Vicar Óptica;Calle Manuel Azaña, Nº 16  28805, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
